央视频道,#genre#
CCTV1,http://60.187.244.14:85/tsfile/live/0001_1.m3u8?k
CCTV1,http://super8gb.x3322.net:9901/tsfile/live/0001_1.m3u8?k
CCTV2,http://60.187.244.14:85/tsfile/live/0002_1.m3u8?k
CCTV2,http://super8gb.x3322.net:9901/tsfile/live/0002_1.m3u8?k
CCTV3,http://60.187.244.14:85/tsfile/live/0003_1.m3u8?k
CCTV4,http://60.187.244.14:85/tsfile/live/0004_1.m3u8?k
CCTV5,http://60.187.244.14:85/tsfile/live/0005_1.m3u8?k
CCTV5,http://super8gb.x3322.net:9901/tsfile/live/0005_1.m3u8?k
CCTV6,http://60.187.244.14:85/tsfile/live/0006_1.m3u8?k
CCTV6,http://super8gb.x3322.net:9901/tsfile/live/0006_1.m3u8?k
CCTV7,http://60.187.244.14:85/tsfile/live/0007_1.m3u8?k
CCTV8,http://60.187.244.14:85/tsfile/live/0008_1.m3u8?k
CCTV9,http://60.187.244.14:85/tsfile/live/0009_1.m3u8?k
CCTV10,http://60.187.244.14:85/tsfile/live/0010_1.m3u8?k
CCTV11,http://60.187.244.14:85/tsfile/live/0011_1.m3u8?k
CCTV12,http://60.187.244.14:85/tsfile/live/0012_1.m3u8?k
CCTV13,http://60.187.244.14:85/tsfile/live/0013_1.m3u8?k
CCTV13,http://super8gb.x3322.net:9901/tsfile/live/0013_1.m3u8?k
CCTV14,http://60.187.244.14:85/tsfile/live/0014_1.m3u8?k
CCTV14,http://super8gb.x3322.net:9901/tsfile/live/0014_1.m3u8?k
CCTV15,http://60.187.244.14:85/tsfile/live/0015_1.m3u8?k

电影频道,#genre#

河南频道,#genre#
河南卫视,http://60.187.244.14:85/tsfile/live/0139_1.m3u8?k

卫视频道,#genre#
湖南卫视,http://60.187.244.14:85/tsfile/live/0128_1.m3u8?k
湖南卫视,http://super8gb.x3322.net:9901/tsfile/live/0128_1.m3u8?k
浙江卫视,http://60.187.244.14:85/tsfile/live/0124_1.m3u8?k
浙江卫视,http://super8gb.x3322.net:9901/tsfile/live/0124_1.m3u8?k
江苏卫视,http://60.187.244.14:85/tsfile/live/0127_1.m3u8?k
江苏卫视,http://super8gb.x3322.net:9901/tsfile/live/0127_1.m3u8?k
广东卫视,http://60.187.244.14:85/tsfile/live/0125_1.m3u8?k
广东卫视,http://super8gb.x3322.net:9901/tsfile/live/0125_1.m3u8?k
四川卫视,http://60.187.244.14:85/tsfile/live/0123_1.m3u8?k
四川卫视,http://super8gb.x3322.net:9901/tsfile/live/0123_1.m3u8?k
贵州卫视,http://60.187.244.14:85/tsfile/live/0120_1.m3u8?k
贵州卫视,http://super8gb.x3322.net:9901/tsfile/live/0120_1.m3u8?k
江西卫视,http://60.187.244.14:85/tsfile/live/0138_1.m3u8?k
江西卫视,http://super8gb.x3322.net:9901/tsfile/live/0138_1.m3u8?k
东方卫视,http://super8gb.x3322.net:9901/tsfile/live/0107_1.m3u8?k
安徽卫视,http://60.187.244.14:85/tsfile/live/0130_1.m3u8?k
安徽卫视,http://super8gb.x3322.net:9901/tsfile/live/0130_1.m3u8?k
上海卫视,http://60.187.244.14:85/tsfile/live/0107_1.m3u8?k
北京卫视,http://60.187.244.14:85/tsfile/live/0122_1.m3u8?k
天津卫视,http://60.187.244.14:85/tsfile/live/0135_1.m3u8?k
山东卫视,http://60.187.244.14:85/tsfile/live/0131_1.m3u8?k
广西卫视,http://60.187.244.14:85/tsfile/live/0113_1.m3u8?k
东南卫视,http://60.187.244.14:85/tsfile/live/0137_1.m3u8?k
湖北卫视,http://60.187.244.14:85/tsfile/live/0132_1.m3u8?k
重庆卫视,http://60.187.244.14:85/tsfile/live/0142_1.m3u8?k
深圳卫视,http://60.187.244.14:85/tsfile/live/0126_1.m3u8?k
辽宁卫视,http://60.187.244.14:85/tsfile/live/0121_1.m3u8?k
黑龙江卫视,http://60.187.244.14:85/tsfile/live/0143_1.m3u8?k
吉林卫视,http://60.187.244.14:85/tsfile/live/0116_1.m3u8?k
山西卫视,http://60.187.244.14:85/tsfile/live/0118_1.m3u8?k
河北卫视,http://60.187.244.14:85/tsfile/live/0117_1.m3u8?k
云南卫视,http://60.187.244.14:85/tsfile/live/1000_1.m3u8?k
旅游卫视,http://60.187.244.14:85/tsfile/live/1001_1.m3u8?k

其他,#genre#
