央视频道,#genre#
CCTV1,http://42.225.145.72:8089/hls/1/index.m3u8
CCTV2,http://42.225.145.72:8089/hls/2/index.m3u8
CCTV3,http://42.225.145.72:8089/hls/3/index.m3u8
CCTV4,http://42.225.145.72:8089/hls/4/index.m3u8
CCTV5,http://42.225.145.72:8089/hls/5/index.m3u8
CCTV6,http://42.225.145.72:8089/hls/6/index.m3u8
CCTV7,http://42.225.145.72:8089/hls/7/index.m3u8
CCTV8,http://42.225.145.72:8089/hls/8/index.m3u8
CCTV9,http://42.225.145.72:8089/hls/9/index.m3u8
CCTV10,http://42.225.145.72:8089/hls/10/index.m3u8
CCTV11,http://42.225.145.72:8089/hls/11/index.m3u8
CCTV12,http://42.225.145.72:8089/hls/12/index.m3u8
CCTV13,http://42.225.145.72:8089/hls/13/index.m3u8
CCTV14,http://42.225.145.72:8089/hls/14/index.m3u8
CCTV15,http://42.225.145.72:8089/hls/15/index.m3u8
CCTV1,http://61.138.99.166:10080/hls/1/index.m3u8
CCTV1,http://61.138.99.166:10080/hls/2/index.m3u8
CCTV2,http://61.138.99.166:10080/hls/3/index.m3u8
CCTV2,http://61.138.99.166:10080/hls/4/index.m3u8
CCTV3,http://61.138.99.166:10080/hls/5/index.m3u8
CCTV3,http://61.138.99.166:10080/hls/6/index.m3u8
CCTV4,http://61.138.99.166:10080/hls/7/index.m3u8
CCTV4,http://61.138.99.166:10080/hls/8/index.m3u8
CCTV5,http://61.138.99.166:10080/hls/9/index.m3u8
CCTV5,http://61.138.99.166:10080/hls/10/index.m3u8
CCTV10,http://61.138.99.166:10080/hls/11/index.m3u8
CCTV11,http://61.138.99.166:10080/hls/12/index.m3u8
CCTV11,http://61.138.99.166:10080/hls/13/index.m3u8
CCTV12,http://61.138.99.166:10080/hls/14/index.m3u8
CCTV12,http://61.138.99.166:10080/hls/15/index.m3u8
CCTV13,http://61.138.99.166:10080/hls/16/index.m3u8
CCTV13,http://61.138.99.166:10080/hls/17/index.m3u8
CCTV14,http://61.138.99.166:10080/hls/18/index.m3u8
CCTV14,http://61.138.99.166:10080/hls/19/index.m3u8

CCTV5+频道,#genre#

电影频道,#genre#
喜剧影院,http://61.138.99.166:10080/hls/115/index.m3u8
喜剧影院,http://61.138.99.166:10080/hls/118/index.m3u8

河南频道,#genre#
河南卫视,http://42.225.145.72:8089/hls/17/index.m3u8
河南都市,http://42.225.145.72:8089/hls/18/index.m3u8
河南民生,http://42.225.145.72:8089/hls/19/index.m3u8
河南法治,http://42.225.145.72:8089/hls/20/index.m3u8
河南电视剧,http://42.225.145.72:8089/hls/21/index.m3u8
河南新闻,http://42.225.145.72:8089/hls/22/index.m3u8
河南公共,http://42.225.145.72:8089/hls/24/index.m3u8

卫视频道,#genre#
湖南卫视,http://42.225.145.72:8089/hls/30/index.m3u8
江苏卫视,http://42.225.145.72:8089/hls/31/index.m3u8
浙江卫视,http://42.225.145.72:8089/hls/32/index.m3u8
北京卫视,http://42.225.145.72:8089/hls/33/index.m3u8
东方卫视,http://42.225.145.72:8089/hls/34/index.m3u8
天津卫视,http://42.225.145.72:8089/hls/35/index.m3u8
山东卫视,http://42.225.145.72:8089/hls/36/index.m3u8
安徽卫视,http://42.225.145.72:8089/hls/37/index.m3u8
深圳卫视,http://42.225.145.72:8089/hls/38/index.m3u8
